Services	-	-	-	-	-	-	-
Name	Type	Port / Protocol	Protocol Type	Match For Any	Source Port	Members	Comments
AH	other	51	-	TRUE	-	-	IPSEC Authentication Header Protocol
ALL_DCE_RPC	DceRpc	-	-	-	-	-	Special Service For Allowing All DCE-RPC Services
AOL	tcp	5190	-	TRUE	-	-	AOL Instant Messenger. Also used by: ICQ & Apple iChat
AOL_Messenger	group	-	-	-	-	AOL	AOL Instant Messenger. Also used by: ICQ & Apple iChat
-	-	-	-	-	-	ICQ_locator	-
AP-Defender	tcp	2626	-	TRUE	-	-	Defender Authentication service
AT-Defender	tcp	2626	-	FALSE	-	-	Defender Authentication service
Authenticated	group	-	-	-	-	telnet	Authenticated group
-	-	-	-	-	-	ftp	-
-	-	-	-	-	-	http	-
-	-	-	-	-	-	login	-
BGP	TCP	179	-	FALSE	-	-	Border Gateway Protocol
Backage	Tcp	411	-	FALSE	-	-	Backage trojan
Bionet-Setup	Tcp	5000	-	FALSE	-	-	Also used by: Blazer5 , Bubbel and Back-door trojans
Blubster	Udp	41170	-	TRUE	-	-	Uses MANOLITO protocol
CIFS	group	-	-	-	-	microsoft-ds	Common Internet File System Services
-	-	-	-	-	-	NBT	-
CPD	tcp	18191	-	TRUE	-	-	Check Point Daemon Protocol
CPD_amon	tcp	18192	-	TRUE	-	-	Check Point Internal Application Monitoring
CPMI	tcp	18190	-	TRUE	-	-	Check Point Management Interface
CP_Exnet_PK	tcp	18262	-	TRUE	-	-	Check Point Extranet public key resolution
CP_Exnet_resolve	tcp	18263	-	TRUE	-	-	Check Point Extranet remote objects resolution
CP_SSL_Network_Extender	Tcp	444	-	FALSE	-	-	SSL Network Extender port
CP_SecureAgent-udp	Udp	19194-19195	-	FALSE	-	-	SecureAgent Authentication service
CP_SmartPortal	Tcp	4433	-	TRUE	-	-	Check Point Smart Portal
CP_redundant	tcp	18221	-	TRUE	-	-	Check Point Redundant Management Protocol
CP_reporting	tcp	18205	-	TRUE	-	-	Check Point Reporting Client Protocol
CP_rtm	tcp	18202	-	TRUE	-	-	Check Point Real Time Monitoring
CP_seam	Tcp	18266	-	TRUE	-	-	Check Point Eventia Analyzer Server Protocol
CU-SeeMe	udp	7648-7652	-	TRUE	-	-	person-to-person or group discussions videoconference
Cdf	Tcp_subservice	80	-	-	-	-	http subservice for FloodGate use,Channel Definition Format
CheckPointExchangeAgent	Tcp	18301	SMTP	TRUE	-	-	-
Citrix_ICA	Tcp	1494	CitrixICA	FALSE	-	-	Citrix ICA general Service.
Citrix_ICA_Browsing	Udp	1604	-	FALSE	-	-	UDP Service for general Citrix browsing
Citrix_ICA_printing	tcp_citrix	1494	-	-	-	-	Citrix ICA printing traffic
Citrix_metaFrame	group	-	-	-	-	Citrix_ICA	group for citrix communication
-	-	-	-	-	-	Citrix_ICA_Browsing	-
ConnectedOnLine	tcp	16384	-	TRUE	-	-	-
CrackDown	Tcp	4444	-	FALSE	-	-	CrackDown trojan
CreativePartnerClnt	tcp	455	-	TRUE	-	-	The Client listening port
CreativePartnerSrvr	tcp	453	-	TRUE	-	-	The Server listening port
DAIP_Control_services	group	-	-	-	-	CPD	-
-	-	-	-	-	-	FW1	-
-	-	-	-	-	-	FW1_ica_pull	-
-	-	-	-	-	-	FW1_log	-
DB_Access_Port_Grp	group	-	-	-	-	MySQL	-
-	-	-	-	-	-	TCP_3316	-
-	-	-	-	-	-	TCP_3317	-
-	-	-	-	-	-	TCP_3318	-
-	-	-	-	-	-	TCP_3319	-
-	-	-	-	-	-	MS-SQL-Server	-
-	-	-	-	-	-	TCP_1700	-
-	-	-	-	-	-	sqlnet1	-
-	-	-	-	-	-	TCP_1527	-
-	-	-	-	-	-	PostgreSQL	-
-	-	-	-	-	-	TCP_20300	-
-	-	-	-	-	-	TCP_27017	-
-	-	-	-	-	-	Remote_Desktop_Protocol	-
-	-	-	-	-	-	TCP_5901	-
DB_Mgmt	group	-	-	-	-	MySQL	-
-	-	-	-	-	-	MS-SQL-Server	-
-	-	-	-	-	-	sqlnet1	-
-	-	-	-	-	-	PostgreSQL	-
-	-	-	-	-	-	TCP_3316	-
-	-	-	-	-	-	TCP_3317	-
-	-	-	-	-	-	TCP_3318	-
-	-	-	-	-	-	TCP_3319	-
-	-	-	-	-	-	TCP_1700	-
-	-	-	-	-	-	TCP_1527	-
-	-	-	-	-	-	TCP_20300	-
-	-	-	-	-	-	TCP_27017	-
DCOM-OXID_Resolver	DceRpc	-	-	-	-	-	Object eXport IDentifier Resolver Interface
DCOM-RemUnknown2	DceRpc	-	-	-	-	-	Remote Unknown2 DCOM Interface
DCOM-RemoteActivation	dcerpc	-	-	-	-	-	DCOM Remote Activation
DCOM-SystemActivation	DceRpc	-	-	-	-	-	DCOM SystemActivation Interface
DIC_Monitoring	group	-	-	-	-	HTTP_and_HTTPS_proxy	-
-	-	-	-	-	-	TCP_8888	-
-	-	-	-	-	-	TCP_9000	-
-	-	-	-	-	-	TCP_10000	-
-	-	-	-	-	-	TCP_10100	-
-	-	-	-	-	-	TCP_10200	-
-	-	-	-	-	-	TCP_11000	-
-	-	-	-	-	-	TCP_11100	-
-	-	-	-	-	-	TCP_11200	-
-	-	-	-	-	-	TCP_25000	-
-	-	-	-	-	-	TCP_25010	-
-	-	-	-	-	-	TCP_25020	-
-	-	-	-	-	-	TCP_50030	-
-	-	-	-	-	-	TCP_50040	-
-	-	-	-	-	-	TCP_50060	-
-	-	-	-	-	-	TCP_50070	-
-	-	-	-	-	-	TCP_50075	-
-	-	-	-	-	-	TCP_60010	-
-	-	-	-	-	-	TCP_60020	-
-	-	-	-	-	-	TCP_60030	-
DI_Tstore_DB	group	-	-	-	-	TCP_7809	-
-	-	-	-	-	-	TCP_7810	-
-	-	-	-	-	-	TCP_7811	-
-	-	-	-	-	-	TCP_7812	-
-	-	-	-	-	-	TCP_7813	-
-	-	-	-	-	-	TCP_7814	-
-	-	-	-	-	-	TCP_7815	-
-	-	-	-	-	-	TCP_7816	-
-	-	-	-	-	-	TCP_7817	-
-	-	-	-	-	-	TCP_7818	-
DNP3	Tcp	20000	-	TRUE	-	-	DNP3 is a set of communications protocols used between components in process automation systems. Its main use is in utilities such as electric and water companies
DaCryptic	Tcp	1074	-	TRUE	-	-	DaCryptic trojan
DameWare	Tcp	6129	-	TRUE	-	-	DameWare Mini Remote Control Protocol
DerSphere	Tcp	1000	-	TRUE	-	-	Also used by: Direct Connection,Connecter,Insane Network trojans
DerSphere_II	Tcp	2000	-	FALSE	-	-	Also used by:Insane Network,Last 2000,Remote Explorer 2000,Senna Spy Trojan Generator trojans
Direct_Connect	group	-	-	-	-	Direct_Connect_TCP	Direct Connect P2P application. Used also by other clients
-	-	-	-	-	-	Direct_Connect_UDP	-
Direct_Connect_TCP	Tcp	411-412	-	TRUE	-	-	Direct Connect P2P application. Used also by other clients
Direct_Connect_UDP	Udp	411-412	-	TRUE	-	-	Direct Connect P2P application. Used also by other clients
E2ECP	udp	18241	-	TRUE	-	-	Check Point End to End Control Protocol
EAI_Port_Grp	group	-	-	-	-	TCP_5591	-
-	-	-	-	-	-	TCP_5592	-
-	-	-	-	-	-	TCP_1515	-
-	-	-	-	-	-	TCP_8484	-
-	-	-	-	-	-	TCP_1414	-
-	-	-	-	-	-	TCP_9494	-
-	-	-	-	-	-	TCP_9595	-
-	-	-	-	-	-	TCP_5555	-
-	-	-	-	-	-	TCP_5556	-
EDGE	TCP	981	-	FALSE	-	-	VPN-1 UTM Edge Portal
ESP	other	50	-	TRUE	-	-	IPSEC Encapsulating Security Payload Protocol
EndPointMapper	dcerpc	-	-	-	-	-	Dcerpc End Point Mapper service
Entrust-Admin	tcp	710	-	TRUE	-	-	Entrust CA Administration Service
Entrust-CA	group	-	-	-	-	Entrust-Admin	Entrust CA Services
-	-	-	-	-	-	Entrust-KeyMgmt	-
Entrust-KeyMgmt	tcp	709	-	TRUE	-	-	Entrust CA Key Management Service
FIBMGR	Tcp	2010	-	TRUE	-	-	Forwarding Information Base Manager - Dynamic Routing Cluster config
FW1	Tcp	256	-	TRUE	-	-	Check Point Security Gateway Service
FW1_CPRID	tcp	18208	-	TRUE	-	-	Check Point Remote Installation Protocol
FW1_Encapsulation	other	94	-	TRUE	-	-	Check Point VPN-1 SecuRemote FWZ Encapsulation Protocol
FW1_amon	tcp	18193	-	TRUE	-	-	Check Point OPSEC Application Monitoring
FW1_clntauth	group	-	-	-	-	FW1_clntauth_telnet	Check Point Security Gateway Client Authentication
-	-	-	-	-	-	FW1_clntauth_http	-
FW1_clntauth_http	tcp	900	-	TRUE	-	-	Check Point Security Gateway Client Authentication (HTTP)
FW1_clntauth_telnet	tcp	259	-	TRUE	-	-	Check Point Security Gateway Client Authentication (Telnet)
FW1_cvp	tcp	18181	FW1_CVP	TRUE	-	-	Check Point OPSEC Content Vectoring Protocol
FW1_ela	tcp	18187	-	TRUE	-	-	Check Point OPSEC Event Logging API
FW1_ica_mgmt_tools	tcp	18265	-	TRUE	-	-	Check Point Internal CA Management Tools
FW1_ica_pull	tcp	18210	-	TRUE	-	-	Check Point Internal CA Pull Certificate Service
FW1_ica_push	tcp	18211	-	TRUE	-	-	Check Point Internal CA Push Certificate Service
FW1_ica_services	tcp	18264	-	TRUE	-	-	Check Point Internal CA Fetch CRL and User Registration Services
FW1_key	tcp	265	-	TRUE	-	-	Check Point VPN-1 Public Key Transfer Protocol
FW1_lea	tcp	18184	-	TRUE	-	-	Check Point OPSEC Log Export API
FW1_load_agent	udp	18212	-	TRUE	-	-	Check Point ConnectControl Load Agent
FW1_log	tcp	257	-	TRUE	-	-	Check Point Security Gateway Logs
FW1_mgmt	tcp	258	-	TRUE	-	-	Check Point Management (Version 4.x)
FW1_netso	Tcp	19190	-	TRUE	-	-	Check Point User Authority simple protocol
FW1_omi	tcp	18185	-	TRUE	-	-	Check Point OPSEC Objects Management Interface
FW1_omi-sic	tcp	18186	-	TRUE	-	-	Check Point OPSEC Objects Management Interface with Secure Internal Communication
FW1_pslogon	Tcp	18207	-	TRUE	-	-	Check Point Policy Server Logon protocol
FW1_pslogon_NG	Tcp	18231	-	TRUE	-	-	Check Point NG Policy Server Logon protocol
FW1_sam	tcp	18183	-	TRUE	-	-	Check Point OPSEC Suspicious Activity Monitor API
FW1_scv_keep_alive	udp	18233	-	TRUE	-	-	Check Point SecureClient Verification Keepalive Protocol
FW1_sds_logon	Tcp	18232	-	TRUE	-	-	Check Point SecuRemote Distribution Server Protocol
FW1_sds_logon_NG	Tcp	65524	-	TRUE	-	-	SecuRemote Distribution Server Protocol (VC and higher)
FW1_snauth	tcp	261	-	TRUE	-	-	Check Point Security Gateway Session Authentication
FW1_snmp	udp	260	-	TRUE	-	-	Check Point Security Gateway SNMP Agent
FW1_topo	tcp	264	-	TRUE	-	-	Check Point VPN-1 SecuRemote Topology Requests
FW1_uaa	Tcp	19191	-	TRUE	-	-	Check Point OPSEC User Authority API
FW1_ufp	tcp	18182	-	TRUE	-	-	Check Point OPSEC URL Filtering Protocol
Freak2k	Tcp	7001	-	TRUE	-	-	Also used by: Freak88,NetSnooper Gold trojans
FreeTel-incoming	other	17	-	FALSE	-	-	FreeTel Incoming Connections
FreeTel-outgoing	group	-	-	-	-	FreeTel-outgoing-server	FreeTel Outgoing Connections
-	-	-	-	-	-	FreeTel-outgoing-client	-
FreeTel-outgoing-client	other	17	-	FALSE	-	-	real-time full-duplex voice communication via the Internet-client
FreeTel-outgoing-server	Udp	21300	FreeTel	FALSE	21301-21305	-	real-time full-duplex voice communication via the Internet-server
GNUtella	group	-	-	-	-	GNUtella_rtr_TCP	GNUtella P2P protocol (used by: BearShare, ToadNode, Gnucleus, Xolox, LimeWire)
-	-	-	-	-	-	GNUtella_rtr_UDP	-
-	-	-	-	-	-	GNUtella_TCP	-
-	-	-	-	-	-	GNUtella_UDP	-
GNUtella_TCP	Tcp	6346	-	TRUE	-	-	Also used by: BearShare, ToadNode, Gnucleus, Xolox, LimeWire
GNUtella_UDP	Udp	6346	-	TRUE	-	-	Also used by: BearShare, ToadNode, Gnucleus, Xolox, LimeWire
GNUtella_rtr_TCP	Tcp	6347	-	TRUE	-	-	Also used by: BearShare, ToadNode, Gnucleus, Xolox, LimeWire
GNUtella_rtr_UDP	Udp	6347	-	TRUE	-	-	Also used by: BearShare, ToadNode, Gnucleus, Xolox, LimeWire
GateCrasher	Tcp	6970	-	TRUE	-	-	GateCrasher trojan
GoToMyPC	Tcp	8200	-	TRUE	-	-	Remote Computer Access & Sharing application, also uses HTTP and HTTPS
H323	tcp	1720	H.323	TRUE	-	-	videoconference transmissions over IP networks
H323_any	tcp	1720	H.323_ANY	FALSE	-	-	videoconference transmissions over IP networks
H323_ras	udp	1719	H.323_RAS	FALSE	-	-	RAS and associated connections (H.323 protocols)
H323_ras_only	udp	1719	-	TRUE	-	-	Endpoint to Gatekeeper and Gatekeeper to Gatekeeper communication
HP-OpCctla	dcerpc	-	-	-	-	-	HP-OV OpC Control Agent
HP-OpCctla-bulk	dcerpc	-	-	-	-	-	HP-OV OpC Control Agent (Bulk)
HP-OpCctla-cfgpush	dcerpc	-	-	-	-	-	HP-OV OpC Control Agent (cfgpush)
HP-OpCdistm	dcerpc	-	-	-	-	-	HP-OV OpC Distribution Manager
HP-OpCmsgrd-coa	dcerpc	-	-	-	-	-	HP-OV OpC Message receiver (COA)
HP-OpCmsgrd-m2m	dcerpc	-	-	-	-	-	HP-OV OpC Message Receiver (M2M)
HP-OpCmsgrd-std	dcerpc	-	-	-	-	-	HP-OV OpC Message Receiver
HTTP_and_HTTPS_proxy	Tcp	8080	-	FALSE	-	-	-
HTTP_wo_SCV	other	6	-	FALSE	-	-	HTTP without SCV enforcement
HackaTack_31785	Tcp	31785	-	TRUE	-	-	HackaTack
HackaTack_31787	Tcp	31787	-	TRUE	-	-	HackaTack trojan
HackaTack_31788	Tcp	31788	-	TRUE	-	-	HackaTack trojan
HackaTack_31789	Udp	31789	-	TRUE	-	-	HackaTack trojan
HackaTack_31790	Tcp	31790	-	TRUE	-	-	HackaTack trojan
HackaTack_31791	Udp	31791	-	TRUE	-	-	HackaTack trojan
HackaTack_31792	Tcp	31792	-	TRUE	-	-	HackaTack trojan
Host_5071	Tcp	5071	-	TRUE	-	-	-
Hotline	group	-	-	-	-	Hotline_client	Hotline P2P protocol
-	-	-	-	-	-	Hotline_tracker	-
Hotline_client	Tcp	5500-5503	-	TRUE	-	-	Hotline client connections
Hotline_tracker	Udp	5499	-	TRUE	-	-	Hotline tracker connections
ICCP	Tcp	102	-	TRUE	-	-	ICCP is used by utility organizations throughout the world to provide data exchange over wide area networks (WANs) between utility control centers, utilities, power pools, regional control centers and Non-Utility Generators
ICKiller	Tcp	1027	-	TRUE	-	-	ICKiller
ICMP-node-information-query	icmpv6	-	-	-	-	-	-
ICMP-node-information-response	icmpv6	-	-	-	-	-	-
